start,end,cluster
2021-04-30,2021-07-08,0
2021-07-09,2021-07-18,1
2021-07-19,2021-09-26,2
2021-09-27,2021-10-26,1
2021-10-27,2021-12-15,0
2021-12-16,2022-02-23,1
2022-02-24,2022-04-14,2
2022-04-15,2022-06-03,1
2022-06-04,2022-10-21,2
2022-10-22,2023-04-09,1
2023-04-10,2023-07-28,0
2023-07-29,2023-12-25,1
2023-12-26,2024-06-23,0
