start,end,cluster
2021-07-24,2021-10-21,1
2021-10-22,2021-12-10,2
2021-12-11,2022-07-13,1
2022-07-14,2022-07-23,0
2022-07-24,2022-08-02,1
2022-08-03,2022-08-17,0
2022-08-18,2022-08-27,1
2022-08-28,2022-09-21,0
2022-09-22,2022-10-06,1
2022-10-07,2022-10-26,0
2022-10-27,2022-11-05,1
2022-11-06,2022-11-15,0
2022-11-16,2023-01-14,1
2023-01-15,2023-01-24,0
2023-01-25,2023-04-29,1
2023-04-30,2023-05-24,2
2023-05-25,2023-08-27,1
2023-08-28,2023-09-21,2
2023-09-22,2023-11-15,1
2023-11-16,2023-11-30,0
2023-12-01,2024-03-04,1
2024-03-05,2024-04-28,2
2024-04-29,2024-05-28,1
2024-05-29,2024-06-28,2
