start,end,cluster
2021-07-04,2021-08-17,0
2021-08-18,2021-09-16,1
2021-09-17,2021-09-21,0
2021-09-22,2021-12-20,1
2021-12-21,2021-12-30,2
2021-12-31,2022-02-08,1
2022-02-09,2022-02-18,0
2022-02-19,2022-03-05,1
2022-03-06,2022-04-04,0
2022-04-05,2022-05-04,1
2022-05-05,2022-05-19,0
2022-05-20,2022-07-28,1
2022-07-29,2022-08-12,0
2022-08-13,2022-09-01,1
2022-09-02,2022-10-01,0
2022-10-02,2022-12-25,1
2022-12-26,2023-01-19,0
2023-01-20,2023-05-14,1
2023-05-15,2023-05-24,2
2023-05-25,2023-06-28,1
2023-06-29,2023-07-18,0
2023-07-19,2023-08-02,1
2023-08-03,2023-09-11,2
2023-09-12,2023-10-31,1
2023-11-01,2023-11-05,0
2023-11-06,2024-01-19,1
2024-01-20,2024-01-24,2
2024-01-25,2024-03-04,1
2024-03-05,2024-04-13,2
2024-04-14,2024-06-07,1
2024-06-08,2024-06-22,2
2024-06-23,2024-06-28,1
