start,end,cluster
2021-07-19,2021-09-16,2
2021-09-17,2022-05-14,1
2022-05-15,2023-01-29,0
2023-01-30,2023-04-09,1
2023-04-10,2023-09-16,2
2023-09-17,2023-11-25,1
2023-11-26,2024-06-23,2
