start_time,end_time,cluster_id,dir_label
2021-01-01,2021-04-10,,
2021-01-06,2021-04-15,,
2021-01-11,2021-04-20,,
2021-01-16,2021-04-25,,
2021-01-21,2021-04-30,,
2021-01-26,2021-05-05,,
2021-01-31,2021-05-10,,
2021-02-05,2021-05-15,,
2021-02-10,2021-05-20,,
2021-02-15,2021-05-25,,
2021-02-20,2021-05-30,,
2021-02-25,2021-06-04,,
2021-03-02,2021-06-09,,
2021-03-07,2021-06-14,,
2021-03-12,2021-06-19,,
2021-03-17,2021-06-24,,
2021-03-22,2021-06-29,,
2021-03-27,2021-07-04,,
2021-04-01,2021-07-09,,
2021-04-06,2021-07-14,,
2021-04-11,2021-07-19,,
2021-04-16,2021-07-24,,
2021-04-21,2021-07-29,,
2021-04-26,2021-08-03,,
2021-05-01,2021-08-08,,
2021-05-06,2021-08-13,,
2021-05-11,2021-08-18,,
2021-05-16,2021-08-23,,
2021-05-21,2021-08-28,,
2021-05-26,2021-09-02,2.0,1.0
2021-05-31,2021-09-07,2.0,1.0
2021-06-05,2021-09-12,0.0,1.0
2021-06-10,2021-09-17,0.0,1.0
2021-06-15,2021-09-22,1.0,0.0
2021-06-20,2021-09-27,1.0,1.0
2021-06-25,2021-10-02,0.0,1.0
2021-06-30,2021-10-07,1.0,1.0
2021-07-05,2021-10-12,1.0,1.0
2021-07-10,2021-10-17,1.0,1.0
2021-07-15,2021-10-22,0.0,1.0
2021-07-20,2021-10-27,0.0,1.0
2021-07-25,2021-11-01,0.0,1.0
2021-07-30,2021-11-06,0.0,1.0
2021-08-04,2021-11-11,0.0,2.0
2021-08-09,2021-11-16,0.0,2.0
2021-08-14,2021-11-21,2.0,1.0
2021-08-19,2021-11-26,2.0,1.0
2021-08-24,2021-12-01,2.0,1.0
2021-08-29,2021-12-06,2.0,1.0
2021-09-03,2021-12-11,1.0,1.0
2021-09-08,2021-12-16,1.0,1.0
2021-09-13,2021-12-21,0.0,0.0
2021-09-18,2021-12-26,1.0,1.0
2021-09-23,2021-12-31,2.0,1.0
2021-09-28,2022-01-05,0.0,0.0
2021-10-03,2022-01-10,1.0,1.0
2021-10-08,2022-01-15,1.0,1.0
2021-10-13,2022-01-20,0.0,1.0
2021-10-18,2022-01-25,0.0,1.0
2021-10-23,2022-01-30,0.0,0.0
2021-10-28,2022-02-04,0.0,0.0
2021-11-02,2022-02-09,0.0,0.0
2021-11-07,2022-02-14,1.0,1.0
2021-11-12,2022-02-19,2.0,1.0
2021-11-17,2022-02-24,1.0,1.0
2021-11-22,2022-03-01,1.0,1.0
2021-11-27,2022-03-06,1.0,1.0
2021-12-02,2022-03-11,1.0,1.0
2021-12-07,2022-03-16,0.0,0.0
2021-12-12,2022-03-21,0.0,0.0
2021-12-17,2022-03-26,2.0,1.0
2021-12-22,2022-03-31,2.0,1.0
2021-12-27,2022-04-05,2.0,1.0
2022-01-01,2022-04-10,1.0,0.0
2022-01-06,2022-04-15,1.0,0.0
2022-01-11,2022-04-20,1.0,1.0
2022-01-16,2022-04-25,1.0,1.0
2022-01-21,2022-04-30,2.0,1.0
2022-01-26,2022-05-05,2.0,1.0
2022-01-31,2022-05-10,0.0,0.0
2022-02-05,2022-05-15,0.0,0.0
2022-02-10,2022-05-20,1.0,1.0
2022-02-15,2022-05-25,1.0,1.0
2022-02-20,2022-05-30,1.0,1.0
2022-02-25,2022-06-04,1.0,1.0
2022-03-02,2022-06-09,1.0,1.0
