start_time,end_time,cluster_id,dir_label
2022-03-07,2022-06-14,2.0,1.0
2022-03-12,2022-06-19,0.0,1.0
2022-03-17,2022-06-24,1.0,1.0
2022-03-22,2022-06-29,0.0,2.0
2022-03-27,2022-07-04,0.0,1.0
2022-04-01,2022-07-09,1.0,1.0
2022-04-06,2022-07-14,1.0,1.0
2022-04-11,2022-07-19,2.0,1.0
2022-04-16,2022-07-24,2.0,1.0
2022-04-21,2022-07-29,0.0,1.0
2022-04-26,2022-08-03,2.0,1.0
2022-05-01,2022-08-08,0.0,0.0
2022-05-06,2022-08-13,0.0,0.0
2022-05-11,2022-08-18,2.0,1.0
2022-05-16,2022-08-23,0.0,0.0
2022-05-21,2022-08-28,0.0,1.0
2022-05-26,2022-09-02,2.0,1.0
2022-05-31,2022-09-07,0.0,2.0
2022-06-05,2022-09-12,1.0,1.0
2022-06-10,2022-09-17,1.0,1.0
2022-06-15,2022-09-22,1.0,1.0
2022-06-20,2022-09-27,1.0,1.0
2022-06-25,2022-10-02,2.0,1.0
2022-06-30,2022-10-07,2.0,1.0
2022-07-05,2022-10-12,1.0,1.0
2022-07-10,2022-10-17,1.0,1.0
2022-07-15,2022-10-22,1.0,1.0
2022-07-20,2022-10-27,1.0,1.0
2022-07-25,2022-11-01,2.0,1.0
2022-07-30,2022-11-06,2.0,1.0
2022-08-04,2022-11-11,0.0,0.0
2022-08-09,2022-11-16,0.0,0.0
2022-08-14,2022-11-21,2.0,1.0
2022-08-19,2022-11-26,0.0,0.0
2022-08-24,2022-12-01,0.0,1.0
2022-08-29,2022-12-06,2.0,1.0
2022-09-03,2022-12-11,1.0,1.0
2022-09-08,2022-12-16,1.0,1.0
2022-09-13,2022-12-21,0.0,0.0
2022-09-18,2022-12-26,2.0,1.0
2022-09-23,2022-12-31,2.0,1.0
2022-09-28,2023-01-05,2.0,1.0
2022-10-03,2023-01-10,1.0,1.0
2022-10-08,2023-01-15,2.0,1.0
2022-10-13,2023-01-20,0.0,0.0
2022-10-18,2023-01-25,0.0,0.0
2022-10-23,2023-01-30,0.0,0.0
2022-10-28,2023-02-04,0.0,0.0
2022-11-02,2023-02-09,0.0,0.0
2022-11-07,2023-02-14,2.0,1.0
2022-11-12,2023-02-19,2.0,1.0
2022-11-17,2023-02-24,1.0,1.0
2022-11-22,2023-03-01,2.0,1.0
2022-11-27,2023-03-06,1.0,1.0
2022-12-02,2023-03-11,1.0,1.0
2022-12-07,2023-03-16,1.0,1.0
2022-12-12,2023-03-21,0.0,0.0
2022-12-17,2023-03-26,2.0,1.0
2022-12-22,2023-03-31,2.0,1.0
2022-12-27,2023-04-05,2.0,1.0
2023-01-01,2023-04-10,2.0,1.0
2023-01-06,2023-04-15,2.0,1.0
2023-01-11,2023-04-20,2.0,1.0
2023-01-16,2023-04-25,1.0,1.0
2023-01-21,2023-04-30,2.0,1.0
2023-01-26,2023-05-05,0.0,1.0
2023-01-31,2023-05-10,2.0,1.0
2023-02-05,2023-05-15,0.0,2.0
2023-02-10,2023-05-20,0.0,2.0
2023-02-15,2023-05-25,0.0,2.0
2023-02-20,2023-05-30,0.0,2.0
2023-02-25,2023-06-04,2.0,1.0
2023-03-02,2023-06-09,2.0,1.0
2023-03-07,2023-06-14,2.0,1.0
2023-03-12,2023-06-19,1.0,1.0
2023-03-17,2023-06-24,1.0,1.0
2023-03-22,2023-06-29,1.0,1.0
2023-03-27,2023-07-04,2.0,1.0
2023-04-01,2023-07-09,0.0,2.0
2023-04-06,2023-07-14,0.0,1.0
2023-04-11,2023-07-19,0.0,1.0
2023-04-16,2023-07-24,1.0,1.0
2023-04-21,2023-07-29,1.0,1.0
2023-04-26,2023-08-03,2.0,1.0
2023-05-01,2023-08-08,2.0,1.0
2023-05-06,2023-08-13,2.0,1.0
2023-05-11,2023-08-18,2.0,1.0
2023-05-16,2023-08-23,2.0,1.0
2023-05-21,2023-08-28,2.0,1.0
2023-05-26,2023-09-02,0.0,2.0
2023-05-31,2023-09-07,0.0,2.0
2023-06-05,2023-09-12,2.0,1.0
2023-06-10,2023-09-17,2.0,1.0
2023-06-15,2023-09-22,2.0,1.0
2023-06-20,2023-09-27,2.0,1.0
2023-06-25,2023-10-02,2.0,1.0
2023-06-30,2023-10-07,2.0,1.0
2023-07-05,2023-10-12,1.0,1.0
2023-07-10,2023-10-17,1.0,1.0
2023-07-15,2023-10-22,0.0,1.0
2023-07-20,2023-10-27,0.0,1.0
2023-07-25,2023-11-01,0.0,2.0
2023-07-30,2023-11-06,1.0,1.0
2023-08-04,2023-11-11,0.0,0.0
2023-08-09,2023-11-16,1.0,1.0
2023-08-14,2023-11-21,1.0,1.0
2023-08-19,2023-11-26,1.0,1.0
2023-08-24,2023-12-01,0.0,0.0
2023-08-29,2023-12-06,0.0,0.0
2023-09-03,2023-12-11,0.0,1.0
2023-09-08,2023-12-16,2.0,1.0
2023-09-13,2023-12-21,2.0,1.0
2023-09-18,2023-12-26,0.0,2.0
2023-09-23,2023-12-31,0.0,2.0
2023-09-28,2024-01-05,0.0,2.0
2023-10-03,2024-01-10,1.0,1.0
2023-10-08,2024-01-15,2.0,1.0
2023-10-13,2024-01-20,0.0,1.0
2023-10-18,2024-01-25,0.0,1.0
2023-10-23,2024-01-30,1.0,2.0
2023-10-28,2024-02-04,1.0,2.0
2023-11-02,2024-02-09,0.0,1.0
2023-11-07,2024-02-14,0.0,2.0
2023-11-12,2024-02-19,0.0,2.0
2023-11-17,2024-02-24,0.0,2.0
2023-11-22,2024-02-29,0.0,2.0
2023-11-27,2024-03-05,1.0,1.0
2023-12-02,2024-03-10,1.0,1.0
2023-12-07,2024-03-15,1.0,2.0
2023-12-12,2024-03-20,2.0,1.0
2023-12-17,2024-03-25,1.0,1.0
2023-12-22,2024-03-30,1.0,1.0
2023-12-27,2024-04-04,2.0,1.0
2024-01-01,2024-04-09,2.0,1.0
2024-01-06,2024-04-14,2.0,1.0
2024-01-11,2024-04-19,1.0,1.0
2024-01-16,2024-04-24,2.0,1.0
2024-01-21,2024-04-29,1.0,1.0
2024-01-26,2024-05-04,1.0,1.0
2024-01-31,2024-05-09,1.0,1.0
2024-02-05,2024-05-14,1.0,1.0
2024-02-10,2024-05-19,1.0,1.0
2024-02-15,2024-05-24,1.0,2.0
2024-02-20,2024-05-29,1.0,2.0
2024-02-25,2024-06-03,1.0,2.0
2024-03-01,2024-06-08,0.0,2.0
2024-03-06,2024-06-13,0.0,1.0
2024-03-11,2024-06-18,0.0,1.0
2024-03-16,2024-06-23,0.0,1.0
2024-03-21,2024-06-28,2.0,1.0
