start,end,cluster
2021-11-24,2021-12-25,2
2021-12-26,2022-01-02,0
2022-01-03,2022-01-10,2
2022-01-11,2022-01-18,0
2022-01-19,2022-03-31,1
2022-04-01,2022-04-24,0
2022-04-25,2022-06-03,1
2022-06-04,2022-07-21,0
2022-07-22,2022-09-15,1
2022-09-16,2022-11-18,0
2022-11-19,2022-12-04,1
2022-12-05,2023-01-05,0
2023-01-06,2023-06-30,1
2023-07-01,2023-08-01,2
2023-08-02,2023-10-20,1
2023-10-21,2023-11-13,0
2023-11-14,2023-12-23,1
2023-12-24,2024-01-08,2
2024-01-09,2024-03-04,1
2024-03-05,2024-03-20,2
2024-03-21,2024-04-13,1
2024-04-14,2024-06-16,2
2024-06-17,2024-06-25,1
