start_time,end_time,cluster_id,dir_label
2021-01-01,2021-03-21,,
2021-01-11,2021-03-31,,
2021-01-21,2021-04-10,,
2021-01-31,2021-04-20,,
2021-02-10,2021-04-30,,
2021-02-20,2021-05-10,,
2021-03-02,2021-05-20,,
2021-03-12,2021-05-30,,
2021-03-22,2021-06-09,,
2021-04-01,2021-06-19,,
2021-04-11,2021-06-29,,
2021-04-21,2021-07-09,,
2021-05-01,2021-07-19,,
2021-05-11,2021-07-29,,
2021-05-21,2021-08-08,,
2021-05-31,2021-08-18,,
2021-06-10,2021-08-28,,
2021-06-20,2021-09-07,,
2021-06-30,2021-09-17,,
2021-07-10,2021-09-27,,
2021-07-20,2021-10-07,,
2021-07-30,2021-10-17,,
2021-08-09,2021-10-27,,
2021-08-19,2021-11-06,,
2021-08-29,2021-11-16,,
2021-09-08,2021-11-26,,
2021-09-18,2021-12-06,,
2021-09-28,2021-12-16,,
2021-10-08,2021-12-26,,
2021-10-18,2022-01-05,0.0,1.0
2021-10-28,2022-01-15,2.0,1.0
2021-11-07,2022-01-25,2.0,1.0
2021-11-17,2022-02-04,0.0,1.0
2021-11-27,2022-02-14,1.0,1.0
2021-12-07,2022-02-24,1.0,1.0
2021-12-17,2022-03-06,1.0,2.0
2021-12-27,2022-03-16,0.0,2.0
2022-01-06,2022-03-26,1.0,0.0
2022-01-16,2022-04-05,0.0,2.0
2022-01-26,2022-04-15,1.0,0.0
2022-02-05,2022-04-25,0.0,2.0
2022-02-15,2022-05-05,1.0,2.0
2022-02-25,2022-05-15,1.0,1.0
2022-03-07,2022-05-25,1.0,1.0
2022-03-17,2022-06-04,1.0,1.0
2022-03-27,2022-06-14,1.0,1.0
2022-04-06,2022-06-24,1.0,1.0
2022-04-16,2022-07-04,2.0,1.0
2022-04-26,2022-07-14,2.0,1.0
2022-05-06,2022-07-24,2.0,1.0
2022-05-16,2022-08-03,0.0,0.0
2022-05-26,2022-08-13,0.0,0.0
2022-06-05,2022-08-23,0.0,0.0
2022-06-15,2022-09-02,1.0,1.0
2022-06-25,2022-09-12,0.0,0.0
2022-07-05,2022-09-22,1.0,0.0
2022-07-15,2022-10-02,2.0,1.0
2022-07-25,2022-10-12,0.0,0.0
2022-08-04,2022-10-22,0.0,0.0
2022-08-14,2022-11-01,0.0,0.0
2022-08-24,2022-11-11,0.0,0.0
2022-09-03,2022-11-21,0.0,0.0
2022-09-13,2022-12-01,0.0,0.0
2022-09-23,2022-12-11,0.0,0.0
2022-10-03,2022-12-21,0.0,0.0
2022-10-13,2022-12-31,0.0,0.0
2022-10-23,2023-01-10,0.0,0.0
2022-11-02,2023-01-20,2.0,1.0
2022-11-12,2023-01-30,2.0,1.0
2022-11-22,2023-02-09,2.0,1.0
2022-12-02,2023-02-19,2.0,1.0
2022-12-12,2023-03-01,2.0,1.0
2022-12-22,2023-03-11,2.0,1.0
2023-01-01,2023-03-21,2.0,1.0
2023-01-11,2023-03-31,1.0,1.0
2023-01-21,2023-04-10,1.0,1.0
2023-01-31,2023-04-20,1.0,1.0
2023-02-10,2023-04-30,0.0,2.0
2023-02-20,2023-05-10,0.0,2.0
2023-03-02,2023-05-20,1.0,2.0
2023-03-12,2023-05-30,2.0,1.0
2023-03-22,2023-06-09,1.0,2.0
2023-04-01,2023-06-19,1.0,2.0
2023-04-11,2023-06-29,1.0,2.0
2023-04-21,2023-07-09,2.0,1.0
2023-05-01,2023-07-19,2.0,1.0
2023-05-11,2023-07-29,2.0,1.0
2023-05-21,2023-08-08,2.0,1.0
2023-05-31,2023-08-18,1.0,1.0
2023-06-10,2023-08-28,2.0,1.0
2023-06-20,2023-09-07,2.0,1.0
2023-06-30,2023-09-17,2.0,1.0
2023-07-10,2023-09-27,2.0,1.0
2023-07-20,2023-10-07,2.0,1.0
2023-07-30,2023-10-17,2.0,1.0
2023-08-09,2023-10-27,1.0,2.0
2023-08-19,2023-11-06,1.0,2.0
2023-08-29,2023-11-16,0.0,2.0
2023-09-08,2023-11-26,2.0,1.0
2023-09-18,2023-12-06,2.0,1.0
2023-09-28,2023-12-16,2.0,1.0
2023-10-08,2023-12-26,2.0,1.0
2023-10-18,2024-01-05,2.0,1.0
2023-10-28,2024-01-15,0.0,2.0
2023-11-07,2024-01-25,0.0,2.0
2023-11-17,2024-02-04,0.0,2.0
2023-11-27,2024-02-14,2.0,1.0
2023-12-07,2024-02-24,0.0,2.0
2023-12-17,2024-03-05,2.0,1.0
2023-12-27,2024-03-15,2.0,1.0
2024-01-06,2024-03-25,2.0,1.0
2024-01-16,2024-04-04,2.0,1.0
2024-01-26,2024-04-14,2.0,1.0
2024-02-05,2024-04-24,2.0,1.0
2024-02-15,2024-05-04,0.0,2.0
2024-02-25,2024-05-14,0.0,2.0
2024-03-06,2024-05-24,0.0,2.0
2024-03-16,2024-06-03,1.0,1.0
2024-03-26,2024-06-13,0.0,2.0
2024-04-05,2024-06-23,1.0,1.0
