start_time,end_time,cluster_id,dir_label
2021-01-01,2021-06-09,,
2021-01-09,2021-06-17,,
2021-01-17,2021-06-25,,
2021-01-25,2021-07-03,,
2021-02-02,2021-07-11,,
2021-02-10,2021-07-19,,
2021-02-18,2021-07-27,,
2021-02-26,2021-08-04,,
2021-03-06,2021-08-12,,
2021-03-14,2021-08-20,,
2021-03-22,2021-08-28,,
2021-03-30,2021-09-05,,
2021-04-07,2021-09-13,,
2021-04-15,2021-09-21,,
2021-04-23,2021-09-29,,
2021-05-01,2021-10-07,,
2021-05-09,2021-10-15,,
2021-05-17,2021-10-23,,
2021-05-25,2021-10-31,,
2021-06-02,2021-11-08,,
2021-06-10,2021-11-16,,
2021-06-18,2021-11-24,,
2021-06-26,2021-12-02,,
2021-07-04,2021-12-10,,
2021-07-12,2021-12-18,,
2021-07-20,2021-12-26,,
2021-07-28,2022-01-03,,
2021-08-05,2022-01-11,,
2021-08-13,2022-01-19,,
2021-08-21,2022-01-27,0.0,2.0
2021-08-29,2022-02-04,2.0,1.0
2021-09-06,2022-02-12,2.0,1.0
2021-09-14,2022-02-20,2.0,1.0
2021-09-22,2022-02-28,1.0,2.0
2021-09-30,2022-03-08,0.0,2.0
2021-10-08,2022-03-16,2.0,1.0
2021-10-16,2022-03-24,2.0,1.0
2021-10-24,2022-04-01,2.0,1.0
2021-11-01,2022-04-09,2.0,1.0
2021-11-09,2022-04-17,2.0,1.0
2021-11-17,2022-04-25,2.0,2.0
2021-11-25,2022-05-03,0.0,2.0
2021-12-03,2022-05-11,0.0,2.0
2021-12-11,2022-05-19,0.0,0.0
2021-12-19,2022-05-27,0.0,0.0
2021-12-27,2022-06-04,0.0,0.0
2022-01-04,2022-06-12,2.0,1.0
2022-01-12,2022-06-20,0.0,0.0
2022-01-20,2022-06-28,0.0,0.0
2022-01-28,2022-07-06,0.0,0.0
2022-02-05,2022-07-14,0.0,0.0
2022-02-13,2022-07-22,0.0,0.0
2022-02-21,2022-07-30,1.0,0.0
2022-03-01,2022-08-07,1.0,0.0
2022-03-09,2022-08-15,1.0,0.0
2022-03-17,2022-08-23,0.0,0.0
2022-03-25,2022-08-31,0.0,0.0
2022-04-02,2022-09-08,0.0,0.0
2022-04-10,2022-09-16,0.0,0.0
2022-04-18,2022-09-24,2.0,1.0
2022-04-26,2022-10-02,0.0,1.0
2022-05-04,2022-10-10,0.0,2.0
2022-05-12,2022-10-18,2.0,1.0
2022-05-20,2022-10-26,2.0,1.0
