start,end,cluster
2021-08-13,2021-11-10,1
2021-11-11,2021-12-20,2
2021-12-21,2022-01-09,1
2022-01-10,2022-01-24,0
2022-01-25,2022-03-30,1
2022-03-31,2022-04-09,0
2022-04-10,2022-08-02,1
2022-08-03,2022-08-27,0
2022-08-28,2022-09-06,1
2022-09-07,2022-09-26,0
2022-09-27,2023-05-29,1
2023-05-30,2023-06-08,2
2023-06-09,2023-06-23,1
2023-06-24,2023-06-28,0
2023-06-29,2023-07-13,2
2023-07-14,2023-07-28,1
2023-07-29,2023-08-17,2
2023-08-18,2023-09-11,1
2023-09-12,2023-09-21,2
2023-09-22,2023-09-26,0
2023-09-27,2023-11-10,1
2023-11-11,2023-11-30,0
2023-12-01,2024-04-23,1
2024-04-24,2024-05-03,2
2024-05-04,2024-06-28,1
