start,end,cluster
2021-07-04,2021-08-17,0
2021-08-18,2021-10-01,1
2021-10-02,2021-10-21,2
2021-10-22,2022-01-14,1
2022-01-15,2022-03-05,0
2022-03-06,2022-03-15,1
2022-03-16,2022-03-25,0
2022-03-26,2022-06-08,1
2022-06-09,2022-07-03,0
2022-07-04,2022-08-12,1
2022-08-13,2022-11-25,0
2022-11-26,2023-01-04,1
2023-01-05,2023-01-29,0
2023-01-30,2023-05-14,1
2023-05-15,2023-06-03,2
2023-06-04,2023-07-03,1
2023-07-04,2023-08-17,0
2023-08-18,2023-09-06,2
2023-09-07,2023-11-10,1
2023-11-11,2023-12-05,2
2023-12-06,2024-01-04,1
2024-01-05,2024-01-29,2
2024-01-30,2024-03-04,1
2024-03-05,2024-03-19,2
2024-03-20,2024-05-28,1
2024-05-29,2024-06-28,2
