start,end,cluster
2021-09-02,2021-11-15,1
2021-11-16,2021-11-25,2
2021-11-26,2022-02-03,1
2022-02-04,2022-02-18,0
2022-02-19,2022-03-20,1
2022-03-21,2022-03-30,0
2022-03-31,2022-04-14,1
2022-04-15,2022-04-24,0
2022-04-25,2022-05-14,1
2022-05-15,2022-05-24,0
2022-05-25,2022-08-12,1
2022-08-13,2022-08-27,0
2022-08-28,2022-11-15,1
2022-11-16,2022-11-30,0
2022-12-01,2023-01-24,1
2023-01-25,2023-02-18,0
2023-02-19,2023-05-19,1
2023-05-20,2023-06-08,2
2023-06-09,2023-09-06,1
2023-09-07,2023-09-16,2
2023-09-17,2023-11-10,1
2023-11-11,2023-11-15,0
2023-11-16,2023-12-05,1
2023-12-06,2023-12-15,0
2023-12-16,2023-12-30,1
2023-12-31,2024-01-14,2
2024-01-15,2024-02-03,1
2024-02-04,2024-03-09,2
2024-03-10,2024-05-28,1
2024-05-29,2024-06-17,2
2024-06-18,2024-06-28,1
