start,end,cluster
2021-06-09,2021-08-07,1
2021-08-08,2021-11-15,2
2021-11-16,2022-01-24,1
2022-01-25,2022-04-04,2
2022-04-05,2022-12-20,0
2022-12-21,2023-04-09,2
2023-04-10,2023-09-16,1
2023-09-17,2023-12-05,2
2023-12-06,2024-06-23,1
