start,end,cluster
2021-03-21,2021-05-04,1
2021-05-05,2021-05-19,0
2021-05-20,2021-08-17,2
2021-08-18,2021-12-30,0
2021-12-31,2022-04-04,2
2022-04-05,2022-05-09,0
2022-05-10,2022-05-29,2
2022-05-30,2022-06-08,0
2022-06-09,2022-09-11,2
2022-09-12,2022-11-15,0
2022-11-16,2023-01-24,2
2023-01-25,2023-09-06,0
2023-09-07,2023-11-15,2
2023-11-16,2024-06-02,0
2024-06-03,2024-06-28,2
