start,end,cluster
2021-06-09,2021-06-24,0
2021-06-25,2021-07-02,2
2021-07-03,2021-07-10,0
2021-07-11,2021-11-15,2
2021-11-16,2021-12-17,0
2021-12-18,2022-02-03,2
2022-02-04,2023-02-14,1
2023-02-15,2023-03-18,2
2023-03-19,2023-08-09,0
2023-08-10,2023-10-04,2
2023-10-05,2023-10-28,1
2023-10-29,2023-12-07,2
2023-12-08,2024-06-25,0
