start,end,cluster
2021-04-10,2021-05-29,1
2021-05-30,2021-09-01,2
2021-09-02,2022-01-19,0
2022-01-20,2022-04-24,2
2022-04-25,2022-05-19,0
2022-05-20,2022-10-01,2
2022-10-02,2022-11-20,0
2022-11-21,2023-01-24,2
2023-01-25,2023-10-01,0
2023-10-02,2023-11-05,2
2023-11-06,2024-06-17,0
2024-06-18,2024-06-28,2
