start,end,cluster
2021-04-06,2021-06-08,0
2021-06-09,2021-11-07,1
2021-11-08,2021-11-23,0
2021-11-24,2023-03-02,1
2023-03-03,2023-05-29,0
2023-05-30,2023-12-23,1
2023-12-24,2024-02-09,0
2024-02-10,2024-03-04,1
2024-03-05,2024-06-16,0
2024-06-17,2024-06-25,1
