start,end,cluster
2021-03-01,2021-05-19,1
2021-05-20,2021-08-02,0
2021-08-03,2021-12-15,1
2021-12-16,2022-03-30,0
2022-03-31,2022-04-14,1
2022-04-15,2022-05-04,0
2022-05-05,2022-05-14,1
2022-05-15,2022-08-22,0
2022-08-23,2022-10-11,1
2022-10-12,2022-11-05,0
2022-11-06,2022-11-20,1
2022-11-21,2023-01-24,0
2023-01-25,2023-03-20,1
2023-03-21,2023-04-24,0
2023-04-25,2023-08-27,1
2023-08-28,2023-11-05,0
2023-11-06,2024-02-03,1
2024-02-04,2024-03-04,0
2024-03-05,2024-05-08,1
2024-05-09,2024-06-28,0
