start,end,cluster
2021-03-21,2021-05-29,1
2021-05-30,2021-08-27,0
2021-08-28,2022-01-14,2
2022-01-15,2022-10-01,0
2022-10-02,2022-10-31,2
2022-11-01,2023-02-08,0
2023-02-09,2023-09-06,2
2023-09-07,2023-11-15,0
2023-11-16,2024-06-12,2
2024-06-13,2024-06-23,0
