date,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
1/1/2021,7.80029512,7.766189805,9.092821793,8.51231997,10.92061415,9.396957278,,8.647055114,7.761596213,7.736495606,8.99904412,7.931952253,9.802193076,8.026277977,7.015615143,8.591831203,8.348343071,8.962849151,8.505987516,7.235709525,8.941653341,,8.9090904,9.673976173,9.182741684,8.340299858,7.572456223,7.742260494,7.786258793,7.516321148,9.737148292,7.936102074,8.559105813,8.821413758,8.045101988,9.062894487,8.789585566,,8.818725524,8.780796712,9.920676267,8.046532653,9.462357845,7.417472872,9.896346215,8.55344518,8.625229208,7.639127131,9.746991407,9.009536147,8.601685828,8.451719185,9.300307533,8.040368727,7.952816026,7.569572317,8.794030523,,8.047387399,7.57720453,11.73719264,8.453507624,8.099724317,,10.03285059,9.284978267,9.146252141,9.033050693,8.849773221,9.008379362,7.359905419,8.368856382
1/2/2021,7.788546616,7.747623007,9.110616879,8.532266861,10.94741091,9.395312624,,8.601697702,7.728114188,7.685258346,8.988003727,7.960183249,9.81916395,8.013854668,6.991019825,8.590230316,8.356240592,8.927079452,8.512334404,7.259051819,8.935658815,,8.900780861,9.685473304,9.179756917,8.338669083,7.577023394,7.758851518,7.782827619,7.476107326,9.743593783,7.9247261,8.574575739,8.827922786,8.024540579,9.046874784,8.794854001,,8.810281198,8.747207959,9.959981468,8.01561552,9.449365493,7.416509301,9.943399181,8.54905369,8.609149379,7.619679514,9.753199342,9.018876496,8.61954848,8.453664508,9.377160101,8.133966101,7.909778821,7.547004867,8.794702372,,8.039787091,7.5801221,11.77670118,8.430964738,8.084106299,,10.00288293,9.290914648,9.11036623,9.013443182,9.131881585,9.007809222,7.37506023,8.365647267
1/3/2021,7.801764957,7.756305295,9.24023634,8.554710492,11.05125047,9.430564645,,8.567966715,7.668744025,7.785880691,8.983095233,7.990035115,9.892911153,8.024127354,7.003430156,8.61680362,8.359941959,8.900908138,8.527459174,7.295613496,8.94518454,,8.938403082,9.744290315,9.212739117,8.533644318,7.639682814,7.778506604,7.811553324,7.503514076,9.811478097,7.999023234,8.605280821,8.889219361,8.036574972,9.119039544,8.812656611,,8.859142848,8.754908961,10.02383502,8.026039686,9.4792453,7.459771772,9.992976245,8.613504289,8.651219577,7.68579044,9.789765539,9.080179378,8.650682292,8.521501447,9.335736667,8.132755357,7.949901431,7.603499818,8.814590512,,8.091733271,7.588159504,11.78816837,8.433480662,8.101213512,,10.01932865,9.331180779,9.145906315,9.058435948,9.110035493,9.058495517,7.412262508,8.401227521
1/4/2021,7.782016139,7.736029795,9.189174426,8.517209371,11.06704541,9.417575928,,8.566993061,7.679606293,7.759805188,8.970184939,8.056782493,9.8699249,8.017528629,7.002355122,8.7041979,8.341349302,8.903081314,8.514113742,7.277637334,8.936956635,,8.975729718,9.724670961,9.232807389,8.658007957,7.625046719,7.73834876,7.834252097,7.478475804,9.831035962,8.048438412,8.588683846,8.901663333,8.01541458,9.180904914,8.807340073,,8.837930229,8.723504017,10.00426839,8.000257803,9.555474675,7.435858869,9.942865723,8.656231786,8.641653899,7.705222766,9.767913358,9.051845753,8.643533159,8.529113511,9.273858957,8.105837707,7.904770059,7.582221976,8.777380232,,8.074578943,7.566315413,11.76789762,8.434410882,8.110298504,,10.02441407,9.341920783,9.142805123,9.116334569,9.088599356,9.051032065,7.392603473,8.402135981
1/5/2021,7.821467096,7.745674516,9.257225572,8.565054565,11.0973022,9.439424498,,8.611916082,7.715024762,7.793040321,8.98455506,8.07087455,9.891405615,8.021091923,7.016115968,8.759411708,8.410569891,8.91105533,8.588619067,7.284795907,8.944136989,,8.991792386,9.764628955,9.252915703,8.798676219,7.646500927,7.76399372,7.869800203,7.489765576,9.907787034,8.001428964,8.612673299,8.918063906,8.037506126,9.234536264,8.811340175,,8.854837686,8.747289109,10.02266334,8.03164678,9.630925958,7.432880436,9.967014844,8.692728023,8.691621735,7.716758168,9.78859562,9.134237225,8.680344843,8.541421395,9.329627676,8.111440108,7.997740823,7.631928579,8.784406213,,8.096101376,7.599285976,11.80208926,8.517748517,8.130528488,,10.012807,9.31178551,9.17006051,9.159849136,9.099638212,9.073947476,7.415958746,8.429150579
1/6/2021,7.856398272,7.776214044,9.299048116,8.578712613,11.13769199,9.510390591,,8.661855553,7.688651325,7.79666178,8.992019308,8.228265766,9.927869447,8.052618486,7.072324468,8.812041712,8.418153779,8.958854637,8.616151362,7.310884551,8.971515139,,9.027099071,9.833920229,9.295865742,8.706880355,7.685780546,7.801363997,7.931240013,7.521573769,10.01176079,7.953305532,8.672320236,8.948854537,8.089963684,9.22207295,8.842126185,,8.87320876,8.772499277,10.04864549,8.057867464,9.883326274,7.462731124,9.98533328,8.724400373,8.694566654,7.786722979,9.793315602,9.137933018,8.682443741,8.54298603,9.338472858,8.132129728,8.07354987,7.698166146,8.83118211,,8.120155004,7.628346786,11.8344207,8.553821867,8.172887155,,10.05910946,9.345661958,9.207192063,9.145152797,9.124199868,9.142018538,7.446276543,8.495847544
1/7/2021,7.883004302,7.782302736,9.266876279,8.568481723,11.14328011,9.481374839,,8.627718727,7.674296007,7.801304216,8.993449493,8.201955473,9.919335239,8.064701815,7.039780794,8.798624322,8.417476191,8.942567603,8.564784004,7.331094899,8.993494643,,9.023557745,9.800655216,9.280057817,8.66220351,7.745457802,7.820669221,7.896888873,7.523772303,9.967136403,8.790628336,8.649307511,8.921081,8.186819997,9.201560068,8.866399797,,8.990518424,8.770577603,10.05242187,8.026414142,9.837966163,7.494278865,9.961647929,8.691357384,8.699959791,7.782283242,9.803474681,9.129525678,8.691195568,8.505538554,9.299416293,8.146703191,8.016566008,7.689322891,8.785812049,,8.112234732,7.618791161,11.86628734,8.535282733,8.178033706,,10.16977318,9.344134137,9.170657959,9.144862812,9.096859891,9.164808783,7.430765216,8.474871701
1/8/2021,7.832328637,7.768203101,9.251641202,8.621629459,11.14346979,9.46958626,,8.606236365,7.651237016,7.799647453,8.983992068,8.185847337,9.909569049,8.202679599,7.053303642,8.80229467,8.620606909,8.929587361,8.56144603,7.393258096,8.978162225,,9.009932689,9.785134232,9.268042949,8.64033953,7.766250611,7.860676367,7.879501867,7.515689971,9.977093541,8.920641674,8.649617507,8.90535465,8.217085479,9.209003178,8.872343521,,9.024904932,8.747231192,10.05947895,8.014116928,9.824737029,7.519674113,9.948062947,8.677326614,8.736470247,7.826643855,9.796389947,9.103932353,8.657359341,8.471387238,9.296475137,8.159885185,7.979459349,7.688830766,8.789695901,,8.103073088,7.612643832,11.88024178,8.631645804,8.3017979,,10.16494775,9.339056092,9.148562702,9.127964269,9.10184857,9.142680377,7.43258951,8.466822625
1/9/2021,7.853575211,7.801807293,9.279521426,8.645228067,11.16849127,9.539509713,,8.63557862,7.667289693,7.809271422,8.996942398,8.215046754,10.03441893,8.332911811,7.123624116,8.802149536,8.545414135,8.949750324,8.596904651,7.44044072,9.038712306,,9.086737954,9.854333489,9.302842987,8.68960999,7.826122683,7.908488086,7.948476604,7.528047319,10.02014788,8.952137051,8.712729295,8.964169263,8.1892299,9.266579643,8.938359816,,9.039900272,8.790545453,10.07130009,8.039475574,9.842297566,7.540251708,9.969982733,8.719930586,8.778465935,7.8468892,9.815267217,9.132583823,8.663007329,8.545543829,9.313161342,8.256783246,8.002739859,7.701816498,8.796976693,,8.1543204,7.655601375,11.87448182,8.754213688,8.287889079,,10.17554338,9.391369801,9.200834571,9.15976507,9.116208957,9.179997599,7.455083093,8.527927429
1/10/2021,7.828202822,7.789572802,9.248231206,8.634610647,11.16069411,9.47000728,,8.603110572,7.668083567,7.77605857,9.021367914,8.1708248,10.05512421,8.275486265,7.085967828,8.790918519,8.527053613,8.931842491,8.571889883,7.442846914,9.168585928,,9.074306981,9.815863433,9.322602465,8.652157225,7.781376727,7.897050543,7.92976342,7.505987562,9.97989859,8.960152174,8.719876313,9.016843329,8.153607265,9.295919015,9.016753241,,9.012793166,8.811358994,10.05510947,8.019257012,9.804730845,7.524174595,9.949374212,8.709494698,8.752164703,7.811279619,9.800790437,9.115126676,8.639594095,8.508083678,9.301259234,8.24218718,7.98495462,7.681959952,8.805327297,,8.146201394,7.639681808,11.85369821,8.706965946,8.237146577,,10.16110176,9.375661579,9.188421027,9.19020256,9.101631786,9.250449774,7.426038729,8.554003012
1/11/2021,7.794781588,7.734322027,9.195068776,8.568284777,11.0959674,9.405980011,,8.549521949,7.585700315,7.771633318,8.983650574,8.102591423,9.952185137,8.26868561,7.022689158,8.744413003,8.470006409,8.876177612,8.526020273,7.36007752,9.083572832,,9.011775822,9.765973398,9.246335514,8.589399694,7.737311914,7.811618359,7.856508794,7.441055081,9.93284374,8.912359427,8.649137676,8.928936118,8.099502392,9.248099382,8.98008582,,8.952730974,8.747241723,9.966429365,7.976905626,9.764878881,7.45912029,9.897029445,8.636114718,8.690141985,7.748176758,9.756500027,9.049642924,8.659252895,8.461048264,9.257743768,8.200067806,7.949840717,7.61921382,8.760618634,,8.057769478,7.599071602,11.82151353,8.699789837,8.177127115,,10.12185451,9.317801534,9.134692161,9.144345417,9.054122283,9.226786608,7.408102937,8.474330878
1/12/2021,7.791702632,7.724313791,9.167746836,8.557366877,11.07675246,9.390748822,,8.528969556,7.522879887,7.830975891,8.974054947,8.10622753,9.924222568,8.275577632,7.01513643,8.731418388,8.500282279,8.85514291,8.502703564,7.356374645,9.101931963,,8.997751163,9.746469922,9.238207497,8.600532199,7.725093793,7.78866936,7.841001556,7.397201376,9.950330463,8.972431102,8.632822086,8.911644778,8.160240853,9.299438458,9.030922045,,8.949868278,8.775143493,9.943439362,7.973209997,9.792778282,7.44360908,9.896210057,8.621379586,8.732266504,7.745754937,9.752491095,9.077629751,8.646586916,8.452780542,9.258124512,8.170241104,7.950509024,7.605161134,8.751904104,,8.056767238,7.591819978,11.79934055,8.775784948,8.189594905,,10.12530984,9.312291808,9.132533412,9.186527442,9.009546363,9.189640425,7.376461197,8.45154224
