date,market,MACD,Signal Line,MACD Histogram,Signal
2021-01-01,1051.1,0.0,0.0,0.0,0
2021-01-02,1051.1,0.0,0.0,0.0,0
2021-01-03,1051.1,0.0,0.0,0.0,0
2021-01-04,1281.61,18.388262108262097,3.67765242165242,14.710609686609677,1
2021-01-05,1368.3,39.50090892119397,10.842303721560729,28.65860519963324,1
2021-01-06,1472.13,63.87473865871948,21.44879070899248,42.425947949727004,1
2021-01-07,1560.18,89.26705838289217,35.01244424377242,54.25461413911975,1
2021-01-08,1484.25,102.08694354134218,48.42734410328637,53.65959943805581,1
2021-01-09,1484.25,110.96762913794737,60.93540111021858,50.03222802772879,1
2021-01-10,1484.25,116.66084287730519,72.0804894636359,44.580353413669286,1
2021-01-11,1294.72,104.67266739814318,78.59892505053736,26.073742347605815,1
2021-01-12,1354.97,98.89363911790929,82.65786786401175,16.23577125389754,1
2021-01-13,1414.71,98.00450141552778,85.72719457431496,12.27730684121282,1
2021-01-14,1528.38,105.2587154502371,89.6334987494994,15.62521670073771,1
2021-01-15,1414.37,100.6478721389667,91.83637342739286,8.811498711573847,1
2021-01-16,1414.37,95.88840376530493,92.64677949497528,3.241624270329652,1
2021-01-17,1414.37,91.06673021026745,92.33076963803371,-1.2640394277662637,-1
2021-01-18,1414.37,86.25126824879612,91.1148693601862,-4.863601111390082,-1
2021-01-19,1599.43,96.258171062472,92.14352970064337,4.114641361828632,1
2021-01-20,1515.03,96.26861433743193,92.96854662800109,3.3000677094308344,1
2021-01-21,1386.97,84.96410562878327,91.36765842815754,-6.403552799374268,-1
2021-01-22,1439.27,79.31112466754826,88.95635167603568,-9.645227008487424,-1
2021-01-23,1439.27,73.97832049942917,85.96074544071439,-11.982424941285217,-1
2021-01-24,1439.27,68.95713979221978,82.56002431101548,-13.602884518795705,-1
2021-01-25,1486.3,67.98901086443789,79.64582162169997,-11.656810757262079,-1
2021-01-26,1454.29,63.90219747811943,76.49709679298385,-12.59489931486442,-1
2021-01-27,1399.31,55.58617904179437,72.31491324274596,-16.728734200951592,-1
2021-01-28,1457.22,53.05692039177575,68.46331467255192,-15.40639428077617,-1
2021-01-29,1497.2,53.65995796920538,65.50264333188261,-11.84268536267723,-1
2021-01-30,1497.2,53.52091381512082,63.106297428530254,-9.585383613409434,-1
2021-01-31,1497.2,52.80205114379942,61.04544817158409,-8.243397027784674,-1
2021-02-01,1476.95,50.021722257222336,58.84070298871174,-8.818980731489404,-1
2021-02-02,1616.69,58.42070421495009,58.75670323395941,-0.3359990190093214,-1
2021-02-03,1703.79,71.2834883218311,61.262060251533754,10.021428070297347,1
2021-02-04,1710.51,81.08488910845495,65.226626022918,15.858263085536947,1
2021-02-05,1750.62,91.03966306824918,70.38923343198424,20.650429636264946,1
2021-02-06,1750.62,97.80149835790849,75.87168641716909,21.9298119407394,1
2021-02-07,1750.62,101.98468556937496,81.09428624761027,20.89039932176469,1
2021-02-08,1889.03,115.14114636959084,87.9036582720064,27.237488097584446,1
2021-02-09,1996.96,132.7465655564315,96.87223972889143,35.874325827540076,1
2021-02-10,1919.18,138.82253140872626,105.2622980648584,33.560233343867864,1
2021-02-11,2018.72,149.94139318578073,114.19811708904287,35.74327609673786,1
2021-02-12,2083.58,162.1180353964553,123.78210075052536,38.33593464592994,1
2021-02-13,2083.58,169.81064071369087,132.98780874315847,36.822831970532405,1
2021-02-14,2083.58,173.9024466948449,141.17073633349577,32.731710361349144,1
2021-02-15,2083.58,175.12648332743152,147.96188573228292,27.164597595148592,1
2021-02-16,2103.31,175.66364612131088,153.5022378100885,22.161408311222374,1
2021-02-17,2235.34,184.61494294134377,159.72477883633957,24.890164105004203,1
2021-02-18,2279.46,193.04373739645416,166.38857054836248,26.65516684809168,1
2021-02-19,2371.62,204.79935997642428,174.07072843397484,30.72863154244945,1
2021-02-20,2371.62,211.67570974732462,181.5917246966448,30.083985050679814,1
2021-02-21,2371.62,214.65090447099533,188.20356065151492,26.44734381948041,1
2021-02-22,2195.99,200.52536296423,190.66792111405795,9.857441850172052,1
2021-02-23,1894.93,163.1569716074855,185.16573121274348,-22.00875960525798,-1
2021-02-24,1949.57,136.3791496429992,175.40841489879463,-39.02926525579542,-1
2021-02-25,1962.92,114.91015352104569,163.30876262324486,-48.398609102199174,-1
2021-02-26,1825.2,85.79398671870513,147.8058074423369,-62.011820723631786,-1
2021-02-27,1825.2,62.00446587107422,130.64553912808438,-68.64107325701016,-1
2021-02-28,1825.2,42.65934878679286,113.04830105982609,-70.38895227303323,-1
2021-03-01,1898.61,32.87283997390227,97.01320884264133,-64.14036886873906,-1
2021-03-02,1864.33,22.096141160681327,82.02979530624934,-59.93365414556801,-1
2021-03-03,1986.79,23.169939627124677,70.25782417042441,-47.08788454329974,-1
2021-03-04,1907.63,17.43243199112294,59.69274573456412,-42.26031374344118,-1
2021-03-05,1934.89,14.913160401764344,50.73682866800417,-35.82366826623983,-1
2021-03-06,1934.89,12.769421573614409,43.14334724912622,-30.373925675511813,-1
2021-03-07,1934.89,10.944333641888761,36.70354452767873,-25.75921088578997,-1
2021-03-08,2103.19,22.81534071940382,33.92590376602375,-11.11056304661993,-1
2021-03-09,2192.45,38.976439247720236,34.93601086236305,4.040428385357188,1
2021-03-10,2192.2,51.17414961323607,38.183638612537656,12.990511000698412,1
2021-03-11,2249.72,64.7360691347858,43.49412471698729,21.241944417798507,1
2021-03-12,2194.68,70.23311640511929,48.84192305461369,21.391193350505603,1
2021-03-13,2194.68,73.73954242711716,53.82144692911438,19.918095498002778,1
2021-03-14,2194.68,75.64640563606554,58.186438670504614,17.459966965560923,1
2021-03-15,2203.97,77.0194021030643,61.95303135701655,15.066370746047745,1
2021-03-16,2195.34,76.52896455324208,64.86821799626166,11.660746556980413,1
2021-03-17,2255.8,80.0956136004952,67.91369711710837,12.181916483386829,1
2021-03-18,2212.2,78.4991635537508,70.03079040443686,8.468373149313948,1
2021-03-19,2274.21,81.30047290682842,72.28472690491517,9.015746001913243,1
2021-03-20,2274.21,82.56872983124185,74.34152749018051,8.227202341061343,1
2021-03-21,2274.21,82.62142423263413,75.99750683867123,6.623917393962898,1
2021-03-22,2160.85,72.67819136497656,75.3336437439323,-2.6554523789557436,-1
2021-03-23,2117.05,60.56565061265246,72.38004511767633,-11.81439450502387,-1
2021-03-24,2066.88,46.38339617008933,67.18071532815894,-20.797319158069612,-1
2021-03-25,2001.08,29.49435469890659,59.643443202308475,-30.149088503401885,-1
2021-03-26,2078.74,22.12118141294968,52.13899084443672,-30.017809431487038,-1
2021-03-27,2078.74,16.09238546055667,44.92966976766071,-28.837284307104042,-1
2021-03-28,2078.74,11.185580820242194,38.18085197817701,-26.995271157934816,-1
2021-03-29,2225.0,18.881211591275132,34.320923900796636,-15.439712309521504,-1
2021-03-30,2267.62,28.0952674763721,33.07579261591173,-4.98052513953963,-1
2021-03-31,2294.8,37.162288269808414,33.89309174669107,3.269196523117344,1
2021-04-01,2364.6,49.410668797203925,36.996607156793644,12.414061640410281,1
2021-04-02,2364.6,58.44389378251708,41.28606448193833,17.157829300578747,1
2021-04-03,2364.6,64.85517952562577,45.999887490675825,18.855292034949947,1
2021-04-04,2364.6,69.13917628133004,50.62774524880667,18.51143103252337,1
2021-04-05,2483.32,81.17821446564176,56.73783909217369,24.440375373468072,1
